,id,createdtime,username,tweets
105,1405644325086769155,2021-06-17 21:51:37,AstashonokIgor,"@GoogolCoin This project is going to be a better position in the future. Thanks for shared this wonderful opportunity.
@MohitSatija16 
@digrani123
@AmrahKamil
@ImagesByJonEvan
@HeureuxMatthieu
@elahi_moosa
@john84777932

#GOOG #Airdrop #BNB #BSC $GOOG"
106,1405638353089830914,2021-06-17 21:27:53,Zeinab71535477,"@GoogolCoin @cherie988
@Apollooll
@qi85364674
@xlxww1
@hubo138
#GOOG #Airdrop #BNB #BSC $GOOG"
107,1405635092509347840,2021-06-17 21:14:56,shahidchi,"RT @WebullGlobal: Commission-free investing, in-depth market data, and powerful trading tools…all available on #Webull! Don’t miss the oppo…"
108,1405593487299338244,2021-06-17 18:29:36,ziqhoulets1,"RT @ShilpaSurendraP: @GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@Surendra1987P
@Vishwak…"
109,1405593418613411840,2021-06-17 18:29:20,ziqhoulets1,"RT @Aripin55767858: @GoogolCoin this is a great project, because it will be very profitable, and this project might compete with others, ma…"
110,1405593378889211905,2021-06-17 18:29:10,ziqhoulets1,"RT @NQianlin: @GoogolCoin I am proud to be a part of this, hopefully it will be better in the future. Thanks for shared this wonderful oppo…"
111,1405593346702155777,2021-06-17 18:29:03,ziqhoulets1,RT @ar071201: @GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the levels…
112,1405593313470603265,2021-06-17 18:28:55,ziqhoulets1,RT @Russiiiiia: @GoogolCoin The concept of this is project is excellent. $GOOG is on many exchanges and in time it will break all the level…
113,1405592021746827265,2021-06-17 18:23:47,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/yrKevePF4q
114,1405585200961056774,2021-06-17 17:56:41,Sankar65206507,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
115,1405584470149939202,2021-06-17 17:53:46,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/BqgCCI7Kxe
116,1405562809044410369,2021-06-17 16:27:42,HenryAndSamRGay,"RT @WebullGlobal: Start your investing journey on #Webull with FREE stocks! You may have a chance of owning a #GOOG, #FB, or #SBUX stock!"
117,1405556598030835713,2021-06-17 16:03:01,Lie83703279,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
118,1405556485459873792,2021-06-17 16:02:34,nhmuwon,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
119,1405550625971048449,2021-06-17 15:39:17,Girish35656465,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
120,1405543602311208964,2021-06-17 15:11:23,dvfv66372578,"@GoogolCoin Thank you for making this opportunity. Hopefully this project will be successful.

@Surendra1987P

@VishwakumarPat1
 
@Tirupati1981G
 
@Imranpathan81
 
@KumarSuren14

#GOOG #Airdrop #BNB #BSC $GOOG"
121,1405525512659750914,2021-06-17 13:59:30,BabysonuBaby,"@GoogolCoin This project looks amazing. I am interested, and I will support this project until it is successful

@comancher 

@SubonkarH 

@1995Hansdah 
 
@Suman08571436 
 
@S41643142 

#GOOG #Airdrop #BNB  #BSC  $GOOG"
122,1405520669102600202,2021-06-17 13:40:15,Francis24208562,"@GoogolCoin Very Nice Project

@kakakaheen @mqxeF1jEbDFkIM8 @JohnGVibes @C_Mad_block @KH12NS

#GOOG #Airdrop #BNB  #BSC  $GOOG"
123,1405517672989691904,2021-06-17 13:28:21,Anis51347128,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
124,1405507893550530560,2021-06-17 12:49:29,Hamed69491404,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
125,1405493938836758528,2021-06-17 11:54:02,mrtelangpu1,"@GoogolCoin This is one of the very good blockchain cryptocurrencies, you guys are great, and I am glad I can participate!  thank!
@RayJFab 
@HHH318749 
@ouran1231 
@niuniu2022 
@ZHAOJIN1212 

#GOOG $GOOG #Airdrop"
126,1405493872583753729,2021-06-17 11:53:46,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/AoSSoWLHCe
127,1405486325155909632,2021-06-17 11:23:47,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/oXb3bIYmPD
128,1405480548953251840,2021-06-17 11:00:50,ChanwookB,RT @GoogolCoin: #cryptocurrency is the future and the future is now !!! #BNB #GOOG
129,1405472790761730055,2021-06-17 10:30:00,CyclopsGlobal,"@GoogolCoin this is a great project, because it will be very profitable, and this project might compete with others, maybe it could be superior to the others.could be very useful, good luck
@haris_nashir
@penghuni13
@Bayugatra00
@Aripin55767858
@UtepSugandi

#GOOG #Airdrop #BNB  #BSC  $GOOG"
130,1405461445332979713,2021-06-17 09:44:55,oy91834858,"@GoogolCoin This is definitely going to be HUGE! as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions ,I am so glad to be part of this.
@aminudin411 @Dhika2614 @pensiunanazi @Farhan71808144 @dalnimosh
#GOOG #Airdrop #BNB #BSC$GOOG"
131,1405449880898703362,2021-06-17 08:58:58,sugikdatok,"@GoogolCoin Goodjob
@Meyylanda1 
@Arsylla51478133 
@aulia_reall 
@ChacaPutriFania 
@nilavica2 
#GOOG #Airdrop #BNB #BSC $GOOG"
